date,open,high,low,close
2014/4/30,8885.7,8890.09,8791.44,8791.44
2014/5/2,8846.86,8875.9,8839.92,8867.32
2014/5/5,8895.87,8911.08,8844.45,8870.43
2014/5/6,8888.45,8927.39,8853.72,8912.39
2014/5/7,8903.72,8911.03,8856.98,8893.22
2014/5/8,8925.21,8941.46,8891.74,8930.9
2014/5/9,8943.14,8945.63,8878.32,8889.69
2014/5/12,8893.72,8898.31,8803.43,8808.61
2014/5/13,8865.61,8886.66,8809.06,8817.94
2014/5/14,8842.05,8875.16,8812.19,8875.16
2014/5/15,8852.92,8880.65,8839.44,8880.65
2014/5/16,8857.12,8896.72,8816.92,8888.45
2014/5/19,8901.54,8912.35,8877.46,8899.9
2014/5/20,8922.08,8930.79,8887.79,8887.79
2014/5/21,8894.16,8905.04,8848.53,8862.42
2014/5/22,8899.82,8969.63,8899.82,8969.63
2014/5/23,8960.79,9008.22,8960.79,9008.22
2014/5/26,9040.49,9053.75,9026.77,9036.12
2014/5/27,9045.08,9059.19,9035.69,9055.29
2014/5/28,9072.04,9125.14,9069.89,9121.71
2014/5/29,9123.46,9131.66,9093.57,9109
2014/5/30,9130.66,9139.57,9075.91,9075.91
2014/6/3,9106.61,9128.34,9070.45,9123.46
2014/6/4,9135.01,9140.55,9114.18,9119.96
2014/6/5,9127.56,9140.72,9094.13,9140.72
2014/6/6,9167.83,9174.77,9122.56,9134.46
2014/6/9,9153.93,9166.58,9138.93,9162.74
2014/6/10,9181.9,9222.37,9171.75,9222.37
2014/6/11,9218.5,9229.8,9204.76,9229.8
2014/6/12,9209.99,9220.89,9186.79,9204.65
2014/6/13,9192.73,9207.74,9171.51,9196.39
2014/6/16,9196.23,9214.19,9179.56,9202.93
2014/6/17,9223.02,9249.87,9200.86,9240.6
2014/6/18,9257.65,9316.64,9204.35,9279.93
2014/6/19,9288.69,9324.4,9283.38,9316.81
2014/6/20,9330.35,9339.83,9273.79,9273.79
2014/6/23,9293.06,9302.65,9225.73,9228.35
2014/6/24,9232.35,9276.24,9232.35,9246.2
2014/6/25,9250.13,9255.87,9229.8,9242.16
2014/6/26,9273.36,9320.94,9271.35,9320.94
2014/6/27,9316.89,9330.95,9303.57,9306.83
2014/6/30,9332.44,9393.07,9327.89,9393.07
2014/7/1,9393.07,9463.06,9374.28,9441.92
2014/7/2,9482,9547.05,9421.87,9484.96
2014/7/3,9468.78,9538.65,9449.78,9526.23
2014/7/4,9468.78,9550.11,9482.94,9510.05
2014/7/7,9497.27,9520.2,9454.67,9520.2
2014/7/8,9515.18,9540.57,9499.17,9530.98
2014/7/9,9510,9522.99,9478.76,9489.98
2014/7/10,9512.89,9568.75,9512.89,9565.12
2014/7/11,9561.71,9591.27,9480.18,9495.84
2014/7/14,9497.81,9545.99,9488.12,9520.3
2014/7/15,9558.42,9593.68,9547.94,9569.17
2014/7/16,9570.33,9574.13,9471.65,9484.73
2014/7/17,9420.11,9461.86,9373.87,9408.24
2014/7/18,9335.38,9421.34,9335.38,9400.97
2014/7/21,9453.78,9480.14,9426.3,9440.97
2014/7/22,9453.23,9499.36,9418.74,9499.36
2014/7/24,9508.26,9538.07,9483.52,9527.54
2014/7/25,9519.99,9528.7,9412.48,9439.29
2014/7/28,9415.9,9460.43,9385.56,9420.18
2014/7/29,9457.8,9483.75,9357.32,9391.88
2014/7/30,9409.62,9456.03,9398.82,9447.02
2014/7/31,9436.04,9438.97,9313.87,9315.85
2014/8/1,9223.75,9274.64,9201.83,9266.51
2014/8/4,9280.29,9330.19,9258.18,9330.19
2014/8/5,9316.82,9316.82,9141.44,9141.44
2014/8/6,9148.36,9163.81,9070.09,9143.97
2014/8/7,9162.65,9172.88,9108.85,9131.44
2014/8/8,9120.2,9120.2,9014.89,9085.96
2014/8/11,9109.83,9184.96,9107.21,9172.91
2014/8/12,9188.85,9198.1,9146.98,9163.12
2014/8/13,9155.02,9231.66,9147.14,9231.31
2014/8/14,9276.41,9282.01,9218.55,9230.61
2014/8/15,9243.67,9243.67,9172.91,9206.81
2014/8/18,9222.73,9222.73,9128.66,9141.31
2014/8/19,9188.63,9255.09,9188.63,9243.78
2014/8/20,9278.15,9294.49,9249.31,9288.05
2014/8/21,9286.82,9289.02,9217.97,9253.38
2014/8/22,9273.07,9380.6,9271.87,9380.1
2014/8/25,9393.24,9409.35,9369.24,9390.62
2014/8/26,9394.28,9418.77,9386.49,9393.96
2014/8/27,9426.29,9491.75,9426.29,9485.59
2014/8/28,9499.22,9502.42,9453.49,9478.37
2014/8/29,9459.81,9470.15,9425.35,9436.27
2014/9/1,9474.41,9532.66,9472.96,9513.06
2014/9/2,9503.65,9503.65,9388.13,9399.72
2014/9/3,9434.88,9455.78,9396.79,9450.35
2014/9/4,9439.76,9439.76,9389.29,9428.89
2014/9/5,9446.45,9451.39,9365.7,9407.94
2014/9/9,9452.14,9465.93,9426.99,9434.77
2014/9/10,9410.62,9410.62,9309.05,9357.61
2014/9/11,9376.38,9381.05,9322.95,9322.95
2014/9/12,9324.74,9333.28,9223.18,9223.18
2014/9/15,9206.41,9242.23,9175.61,9217.46
2014/9/16,9218.85,9219.42,9133.4,9133.4
2014/9/17,9171.04,9252.38,9159.85,9195.17
2014/9/18,9211.8,9237.88,9201.91,9237.03
2014/9/19,9268.44,9289.22,9235.44,9240.45
2014/9/22,9220.54,9220.54,9106.27,9134.65
